filtered,quantity,final_brand
chicken burger patty ,250g,venkys
 daily family long bread,,britannia
pooof potato kettle chips zesty masala pp ,30g,pooof!
 tube ,20 ml,fevibond
kitkat dessert delight truffle ,50g,nestle
 spaghetti pasta ,200g,blue bird
 avalose podi m,500g,nirapara
 roll on fresh natural ,50ml,nivea
 dw soap exotic dream bx ,115g,fiama di wills
 ktcn peri peri mayonnaise bt ,200g,sangis kitchen
 absolute youth infinity skin sculpting serum ,30 ml,lakme
 absolute perfect radiance skin lightening uv lotion ,30 ml,lakme
 khakhra mobile jeera ,180g,jalaram foods
 c&l iron & vitamins pp ,102g,super gummy
 h&e 6 tortillas xl pp ,360g,cantina
 cookies butter tn ,200g,danisa
 masala oats italian ,39g,saffola
colour nat hrclr drkest brwn no ,3 100ml,
 soya katori chatpati namkeen ,100g,foodex
 farmlite oats & almond biscuits ,75g,sunfeast
 sugarfree oatmeal cookies ,75g,unibic
 orange drink mix ,100g,glucon-d
glucon d nimbu pani ,450g,glucon-d
 orgain tulsi tea bag ,25g,organic india
 original flavour rice wafers ,100g,thins
 morning berries pp ,35g,rostaa
 roasted salted pistachio pp ,35g,rostaa
 kewra essence ,20ml,flying bird
 ripe mango essence ,20ml,flying bird
 ndl cuppa chili chow ,70g,maggi
 hide & seek american butter cookies ,200g,parle
 honey ,1kg,patanjali
 gold biscuits ,200g,priya
 starch ,50g,revive
 air freshener jasmine hang bx ,50g,clmt
 plastic disp garbage bag b1g1,10p,clmt
 deo champion bx ,122ml,axe signature
 chicken lucknowi shek kabab ,400g,yummiez
 frozen chicken keema pp ,300g,yummiez
 bdy ltn int cr hlthy w lgh 40m,,vaseline
 napkin dinner paper plain ,50s,beeta
 apple soft drink ,250ml,appy fizz
 peach passion ,10.7g,tic tac
vrka pio botls stbry,,
 soft drink black diet cola can ,250ml,pepsi
 noodles chicken satay flavour ,85g,koka
 milk gold pp ,1l,gowardhan
 cand juzt jelly mango ,185g,alpenliebe
 prunes california prem pp ,210g,del monte
cadbury raisin nut chocolate ,80g,bournville
 caf,,grandos
 flvr milk energy bt ,200ml,panchamrit
 icecrm ntrl stwbry cp ,125ml,london dairy
 juice pvc bag indian gift pack ,3*1l,real
 redymelnavrtnkorma,285g,kitchens of india
dnu tortilla chips chilli ,150g,salsalito
 namk meetha chatpata p,776g g,bikano
ph urad chilka pp ,500g,
 fry n eat papad triangle ,150g,easy choice
 all purp kitchen trigger 500m,,mr muscle
 frz snk vegie brgr patty pp ,360g,mccains
opp pocket comb,,
 glass & househld cleanr 500m,,mr muscle
 complete active care anti dandruff shampoo ,80 ml,clear
& body wash intimate bt ,90ml,clean and dry
 microfiber multipurpose gloves,,prim
gm moong tawa chilla pp ,400g,food bazaar
gm bedmi chatni longi pp ,100g,food bazaar
 deo urge man cn ,150ml,engage
gh daily rajma chitra white ,1kg,mr.white
gh daily urad dal prem ,500g,
 bournvita lil champ health drink jar ,200g,cadbury
gh who black cardamm ,20g,old spice
gh daily who rai ,100g,old spice
 nourishing soft & smooth conditioner ,80 ml,sunsilk
mayb lip smooth balm berry crush ,4.5g,
 sauce tomato ,200g,maggi
 chocolates value pack pp ,171g,bounty
 frozen pop corn bonless ,250g,delicious
 frozen nuggets classic ,500g,delicious
 basmati rice pulav pp ,1kg,daawat
dawat basmati rice biryani pp ,1kg,
 bhagar shamak varai pp ,200g,desi atta company
 rava dosa pp ,500g,desi atta company
 shmp actv kids sft&smth bt 100m,,johnsons
 co peri peri idli mix pp ,200g,desi atta company
haldiram lemon bhel pp ,150g,namkeen tree
 shmp regenerative repair tube ,240ml,dove
 wa ice crm tuti frty 700m ,1+1 op,kwality walls
kw magnum chotruffle 90m,,
imported cranberry & raspberry ,20pcs,twinings
imported blackcurrant burst ,20pcs,twinings
 tea bag green tea jasmine ,25pcs,twinings
 sandal & cream soap bar ,100 g,lux
 lemon tea bag ,25 pcs,dilmah
 cheese spread spicy pepper ,180g,nilgiris
wafer biscuit pineapple waffy,,
 work out choco classic m,50g,ritebite
 butter cashew biscuit bx ,100g,nilgiris
 deo perfumed passion spray cn ,122ml,he
