article_name,quantity,brand,function,type-flavour-colour,misc
bagrry muesli choco delight bx 400g500g,400g,bagrrys,breakfast cereals | branded food,flavor:choco flavor:muesli,"muesli,delight"
hen fruit large white egg 30 pack,30 p,hen fruit,chocolates cakes confectioneries | branded food,color:white flavor:egg,"large,white,egg,ack"
biotique facewash bio papaya exfoliating 100ml,100ml,biotique,baby care | baby care,type:exfoliating flavor:papaya,"bio,papaya"
tilda basmati rice khus long grain 1k,,tilda,organic grains | grocery,flavor:khus flavor:rice type:khus flavor:grain flavor:basmati,"basmati,rice,long,grain"
karmiq olive oil pure refined bt 1l,1l,karmiq,edible oil ghee | grocery,color:olive flavor:olive,"olive,pure,refined"
vlcc body ltn cocoa butter spf15 350ml,5 350m,vlcc,skin care | beauty personal care,flavor:butter,"body,cocoa,butter"
american garden cheese microwave popcorn 297g,297g,american garden,jams spreads honey | branded food,flavor:cheese,"cheese,microwave,popcorn"
garnier fc scrub pure active apricot 50g,50g,garnier,skin care | beauty personal care,flavor:apricot,"scrub,pure,active,apricot"
quaker oats kesar kishmish 40g,40g,quaker,breakfast cereals | branded food,flavor:kesar flavor:oats flavor:kishmish,oats
nissin cup noodles tangy tomato cp 70g,70g,nissin,noodles pastas vermicelli | branded food,flavor:tomato flavor:tangy,"cup,tangy,tomato"
kiwi liq polish classic black 40m,40m,kiwi,home cleaning | home hygiene,color:black,"polish,classic,black"
pooof tomato flavoured potato kettle chips 30g,30g,pooof!,chips namkeens snacks | branded food,flavor:tomato flavor:potato,"tomato,flavoured,potato,kettle"
kellogs cornflakes strawberry flakes 275g,275g,,chocolates cakes confectioneries | branded food,flavor:strawberry,"cornflakes,strawberry,flakes"
epigamia yogurt greek strawberry cup 90g,90g,epigamia,otc | beauty personal care,type:yogurt flavor:strawberry flavor:yogurt,"yogurt,greek,strawberry,cup"
oral b tbrush ultrathin green 2+1,,green brrew,oral care | beauty personal care,,
amul kool mango milk shake 180ml,180ml,amul,ice cream desserts | branded food,flavor:mango flavor:milk,"mango,milk,shake"
roopak pow spice red chilli 200g,200g,old spice,freshners repellents | home hygiene,flavor:chilli color:red,"pow,red,chilli"
ayush anti pimple turmeric face wash 40m,40m,lever ayush,skin care | beauty personal care,flavor:turmeric type:wash,"anti,pimple,turmeric,face,wash"
fresh lous cheese jalapeno shots bx 300g,300g,soo fresh,chips namkeens snacks | branded food,flavor:jalapeno flavor:cheese,"cheese,shots"
haldiram ni namk falahari chiwda 150g,150g,haldiram mopleez,chocolates cakes confectioneries | branded food,,
tasty treat veg fryum papad chilli pp 200g,200g,tasty treat,ready to fry | branded food,flavor:chilli flavor:veg flavor:papad,"veg,chilli"
engage perfume classic woody men bt 18m,18m,engage,deos perfumes | beauty personal care,type:perfume,"perfume,classic,woody,men"
keya pow spice pasta seasoning 40g,40g,keya,masala spices | grocery,flavor:seasoning flavor:pasta,"pow,spice,pasta,seasoning"
del monte mango fruit drink 240ml,240ml,del monte,fruit juices drinks | beverages,flavor:mango,"mango,drink"
waiwai instant noodles veg cup 65g,65g,wai wai,noodles pastas vermicelli | branded food,flavor:veg,"instant,veg,cup"
sofrsh vd df muffin blueberry 1p,1p,,toys | toys stationery,flavor:blueberry flavor:muffin,"muffin,blueberry"
fun foods mayonnaise olive oil egls 275g,275g,funfoods,edible oil ghee | grocery,flavor:mayonnaise flavor:foods type:foods type:mayonnaise color:olive flavor:olive,"fun,foods,mayonnaise,olive"
bajaj hairoil brahmi amla ayrvdc bt300ml,300ml,bajaj,skin care | beauty personal care,flavor:amla,
dettol handwash original pp 2+1 175m op,1 175m,dettol,personal hygiene | beauty personal care,type:handwash,original
nilons punjabi masala papad 160g,160g,nilons,ready to fry | branded food,flavor:papad,"punjabi,masala"
mccain french fries masala pp 375g,375g,mccain,frozen veg | branded food,flavor:fries,"french,fries,masala"
pillsbury gold sharbati atta pp 1kg,1kg,pillsbury,baking dessert mixes | branded food,,"gold,atta"
mother dairy desi ghee tp 1l,1l,mother dairy,edible oil ghee | grocery,,dei
himalaya shampoo anti dandruff 200m,200m,himalaya,hair care | beauty personal care,type:shampoo,"shampoo,anti,dandruff"
agripure sunflower oil refined pp 1l,1l,agripure,edible oil ghee | grocery,flavor:sunflower,"sunflower,refined"
